case_id,created_date,business_unit,product_type,process_name,workflow_stage,case_status,priority,channel,customer_segment,region,document_type,policy_reference,risk_band,transaction_amount_inr,customer_tenure_months,documents_submitted_count,fraud_alert_score,sla_hours,actual_tat_hours,sla_breach_flag,rework_count,exception_flag,csat_score,root_cause,resolution_code,knowledge_article_tag,case_summary,resolution_notes,closure_date
LO-2025-000024,2025-10-09,Application Intake,SME Working Capital,EMI Restructuring,Decisioning,Approved,Low,Relationship Manager,Retail Mass,Central,KYC Pack,POL-COMP-709,High,"72,98,017.85",46,5,33.8,36,24.7,No,0,Yes,4.7,Manual Override Needed,Closed - Duplicate,Closure & NOC,Relationship Manager request raised for SME Working Capital. Team observed system queue delay in Decisioning; case routed to Application Intake.,Ops reviewer tagged case as Low due to system queue delay. Suggested action: close as duplicate.,01/07/25
LO-2025-000025,2025-10-10,KYC & Document Validation,Personal Loan,EMI Restructuring,Fulfillment,Closed,Critical,Email,Affluent,West,KYC Pack,POL-KYC-101,High,"2,95,477.19",60,10,81.1,26,33,Yes,2,Yes,3.2,Signature Mismatch,Awaiting Customer Action,Closure & NOC,Case originated via Email for Personal Loan. missing bank statement caused delay at Fulfillment; refer POL-KYC-101.,Ops reviewer tagged case as Critical due to missing bank statement. Suggested action: contact customer for clarification.,05/04/25
LO-2025-000026,2025-10-11,Complaints & Exceptions,Auto Loan,Sanction Review,Post-Disbursement,Closed,Medium,Branch,Retail Mass,Central,KYC Pack,POL-DOC-330,Moderate,"12,10,037.26",28,7,12.6,24,30.8,Yes,1,No,2.9,Address Mismatch,Resolved - Manual Review,Income Assessment,Branch request raised for Auto Loan. Team observed name mismatch in Post-Disbursement; case routed to Complaints & Exceptions.,Ops reviewer tagged case as Medium due to name mismatch. Suggested action: contact customer for clarification.,08/05/25
LO-2025-000027,2025-10-12,KYC & Document Validation,Personal Loan,Sanction Review,Post-Disbursement,Pending Documents,Medium,Relationship Manager,Retail Mass,South,Collateral Deed,POL-KYC-101,Severe,"7,44,494.53",58,5,100,24,30.2,Yes,1,Yes,4,Manual Override Needed,Resolved - Standard,KYC Exception,Relationship Manager request raised for Personal Loan. Team observed AML alert in Post-Disbursement; case routed to KYC & Document Validation.,Branch follow-up completed. AML alert remains open; refer to POL-KYC-101 before trigger manual credit review.,
LO-2025-000028,2025-10-13,Credit Decision Support,Auto Loan,Disbursement,Intake,Rejected,Low,Web Portal,Affluent,West,Closure Request,POL-SERV-605,Moderate,"4,75,621.74",68,4,38.9,22,19.4,No,0,Yes,4.3,AML Trigger,Awaiting Customer Action,Collateral Review,Case originated via Web Portal for Auto Loan. duplicate request caused delay at Intake; refer POL-SERV-605.,Exception memo logged. Customer segment Affluent; resolution path is close as duplicate.,26/09/25
LO-2025-000029,2025-10-14,Servicing & Amendments,Credit Card,KYC Verification,Validation,In Review,High,Mobile App,Affluent,East,KYC Pack,POL-FRAUD-418,Moderate,"67,036.25",51,5,26.7,10,8.4,No,0,No,3.7,System Queue Delay,Rejected - Risk,Collateral Review,Affluent borrower submitted KYC Pack; system queue delay noted while performing KYC Verification. Manual review requested.,Branch follow-up completed. system queue delay remains open; refer to POL-FRAUD-418 before collect pending documents.,
LO-2025-000030,2025-10-15,Servicing & Amendments,Home Loan,Closure Request,Approval,In Review,Medium,Relationship Manager,Retail Mass,North,Income Proof,POL-DOC-330,High,"24,17,075.50",35,3,82.5,20,29.3,Yes,1,No,3.2,Address Mismatch,Awaiting Customer Action,Closure & NOC,Case originated via Relationship Manager for Home Loan. collateral valuation gap caused delay at Approval; refer POL-DOC-330.,Branch follow-up completed. collateral valuation gap remains open; refer to POL-DOC-330 before complete disbursement check.,
LO-2025-000031,2025-10-16,Credit Decision Support,Auto Loan,Sanction Review,Validation,Pending Documents,Low,Branch,Affluent,South,Sanction Letter,POL-CREDIT-214,High,"5,57,704.09",58,3,56.1,30,51.7,Yes,1,No,2.1,Rate Revision Request,Resolved - Standard,Fraud Escalation,Branch request raised for Auto Loan. Team observed AML alert in Validation; case routed to Credit Decision Support.,Ops reviewer tagged case as Low due to AML alert. Suggested action: close as duplicate.,
LO-2025-000032,2025-10-17,Application Intake,SME Working Capital,Application Review,Closure,Approved,High,Branch,SME,West,Income Proof,POL-COMP-709,Severe,"42,94,361.01",37,4,98.9,22,35.4,Yes,1,No,3.9,Missing Document,Resolved - Manual Review,SLA Monitoring,Customer raised repayment grievance for SME Working Capital; AML alert flagged during Application Review. Income Proof review required under POL-COMP-709.,Exception memo logged. Customer segment SME; resolution path is trigger manual credit review.,05/09/25
LO-2025-000033,2025-10-18,Application Intake,Personal Loan,Application Review,Validation,Closed,Critical,Branch,Retail Mass,Central,Dispute Form,POL-SLA-512,High,"5,79,818.86",18,2,82.2,20,4,No,1,Yes,4.5,Manual Override Needed,Rejected - Risk,SLA Monitoring,Case originated via Branch for Personal Loan. collateral valuation gap caused delay at Validation; refer POL-SLA-512.,Analyst checked Dispute Form and updated workflow to Closed. Next step: trigger manual credit review.,19/08/25
LO-2025-000034,2025-10-19,KYC & Document Validation,SME Working Capital,KYC Verification,Validation,Pending Documents,Low,Branch,Retail Mass,Central,Exception Memo,POL-DOC-330,High,"68,29,682.21",35,2,70.5,18,20.7,Yes,2,Yes,3.7,Missing Document,Resolved - Manual Review,Sanction Conditions,Branch request raised for SME Working Capital. Team observed AML alert in Validation; case routed to KYC & Document Validation.,Ops reviewer tagged case as Low due to AML alert. Suggested action: complete disbursement check.,
LO-2025-000035,2025-10-20,Disbursement Control,Personal Loan,Sanction Review,Post-Disbursement,Open,Low,Web Portal,SME,Central,Collateral Deed,POL-FRAUD-418,High,"2,17,571.71",75,3,68.7,30,19.4,No,3,Yes,4.2,Name Mismatch,Awaiting Customer Action,Fraud Escalation,Case originated via Web Portal for Personal Loan. AML alert caused delay at Post-Disbursement; refer POL-FRAUD-418.,Analyst checked Collateral Deed and updated workflow to Open. Next step: complete disbursement check.,
LO-2025-000036,2025-10-21,Application Intake,SME Working Capital,Collateral Check,Closure,Closed,Medium,Email,Corporate,East,KYC Pack,POL-COMP-709,Severe,"62,28,816.84",50,3,89.4,36,41.7,Yes,1,No,4.2,Income Variance,Closed - Duplicate,Fraud Escalation,Case originated via Email for SME Working Capital. fraud suspicion caused delay at Closure; refer POL-COMP-709.,Exception memo logged. Customer segment Corporate; resolution path is re-run KYC screening.,25/05/25
LO-2025-000037,2025-10-22,Disbursement Control,Auto Loan,Income Validation,Validation,Escalated,Medium,Email,SME,Central,KYC Pack,POL-FRAUD-418,High,"10,71,194.65",49,7,57.9,18,33.5,Yes,1,Yes,3.5,Name Mismatch,Awaiting Customer Action,Rate Revision,Case originated via Email for Auto Loan. AML alert caused delay at Validation; refer POL-FRAUD-418.,Analyst checked KYC Pack and updated workflow to Escalated. Next step: update sanction terms.,
LO-2025-000038,2025-10-23,Credit Decision Support,SME Working Capital,Closure Request,Post-Disbursement,Pending Documents,Medium,Email,Retail Mass,West,Income Proof,POL-KYC-101,High,"62,06,001.93",11,2,28.2,20,29.2,Yes,2,Yes,3.6,Signature Mismatch,Closed - Withdrawn,SLA Monitoring,Case originated via Email for SME Working Capital. collateral valuation gap caused delay at Post-Disbursement; refer POL-KYC-101.,Ops reviewer tagged case as Medium due to collateral valuation gap. Suggested action: trigger manual credit review.,
LO-2025-000039,2025-10-24,Disbursement Control,Loan Against Property,Income Validation,Approval,Escalated,Medium,Web Portal,SME,West,Sanction Letter,POL-FRAUD-418,High,"49,20,369.21",54,2,50.1,18,15.5,No,2,Yes,4.4,Fraud Suspected,Escalated to Ops Manager,Collateral Review,Customer raised repayment grievance for Loan Against Property; duplicate request flagged during Income Validation. Sanction Letter review required under POL-FRAUD-418.,Exception memo logged. Customer segment SME; resolution path is re-run KYC screening.,
LO-2025-000040,2025-10-25,KYC & Document Validation,Credit Card,Sanction Review,Post-Disbursement,Approved,High,Email,Retail Mass,West,Closure Request,POL-DOC-330,Severe,"2,68,867.41",31,1,93.3,22,12.7,No,4,Yes,4.7,Fraud Suspected,Awaiting Customer Action,Complaint Handling,Case originated via Email for Credit Card. duplicate request caused delay at Post-Disbursement; refer POL-DOC-330.,Exception memo logged. Customer segment Retail Mass; resolution path is collect pending documents.,15/06/25
LO-2025-000041,2025-10-26,Servicing & Amendments,Credit Card,EMI Restructuring,Decisioning,Rejected,High,Email,Affluent,North,Bank Statement,POL-SLA-512,High,"1,12,296.33",30,7,68.1,28,26.5,No,1,Yes,3.5,Manual Override Needed,Closed - Withdrawn,Rate Revision,Email request raised for Credit Card. Team observed income variance in Decisioning; case routed to Servicing & Amendments.,Ops reviewer tagged case as High due to income variance. Suggested action: trigger manual credit review.,22/02/25
LO-2025-000042,2025-10-27,KYC & Document Validation,Credit Card,Complaint Resolution,Fulfillment,Rejected,High,Email,SME,West,Closure Request,POL-SERV-605,Low,"1,06,830.64",72,1,12.7,46,29.6,No,1,No,4.1,Rate Revision Request,Resolved - Manual Review,Fraud Escalation,SME borrower submitted Closure Request; fraud suspicion noted while performing Complaint Resolution. Manual review requested.,Analyst checked Closure Request and updated workflow to Rejected. Next step: complete disbursement check.,14/11/25
LO-2025-000043,2025-10-28,Servicing & Amendments,Credit Card,KYC Verification,Decisioning,Escalated,Critical,Branch,SME,East,Closure Request,POL-DOC-330,Severe,"47,322.00",16,3,90.4,8,21.6,Yes,1,Yes,2.4,Customer Dispute,Rejected - Risk,Collateral Review,Branch request raised for Credit Card. Team observed collateral valuation gap in Decisioning; case routed to Servicing & Amendments.,Analyst checked Closure Request and updated workflow to Escalated. Next step: complete disbursement check.,
LO-2025-000044,2025-10-29,Disbursement Control,Personal Loan,Collateral Check,Decisioning,In Review,Medium,Branch,SME,East,Bank Statement,POL-KYC-101,High,"3,86,277.59",35,4,66.4,36,44.3,Yes,2,Yes,3.7,AML Trigger,Closed - Withdrawn,Rate Revision,Case originated via Branch for Personal Loan. address mismatch caused delay at Decisioning; refer POL-KYC-101.,Ops reviewer tagged case as Medium due to address mismatch. Suggested action: complete disbursement check.,
LO-2025-000045,2025-10-30,KYC & Document Validation,Home Loan,Disbursement,Approval,Closed,Medium,Email,Affluent,East,KYC Pack,POL-SLA-512,High,"31,72,302.87",65,5,67,16,26.2,Yes,2,Yes,3.4,Signature Mismatch,Rejected - Policy,KYC Exception,Email request raised for Home Loan. Team observed address mismatch in Approval; case routed to KYC & Document Validation.,Ops reviewer tagged case as Medium due to address mismatch. Suggested action: close as duplicate.,28/05/25
LO-2025-000046,2025-10-31,Complaints & Exceptions,SME Working Capital,Application Review,Validation,In Review,Medium,Relationship Manager,Retail Mass,East,Closure Request,POL-SERV-605,High,"86,37,571.69",28,1,42.2,24,25.1,Yes,1,No,3,Customer Dispute,Awaiting Customer Action,Collateral Review,Relationship Manager request raised for SME Working Capital. Team observed collateral valuation gap in Validation; case routed to Complaints & Exceptions.,Exception memo logged. Customer segment Retail Mass; resolution path is close as duplicate.,
LO-2025-000047,2025-11-01,Credit Decision Support,Credit Card,KYC Verification,Intake,Closed,High,Relationship Manager,Corporate,Central,Closure Request,POL-KYC-101,Low,"2,55,113.42",24,1,0,10,10.7,Yes,0,No,3.3,Customer Dispute,Rejected - Risk,KYC Exception,Case originated via Relationship Manager for Credit Card. AML alert caused delay at Intake; refer POL-KYC-101.,Branch follow-up completed. AML alert remains open; refer to POL-KYC-101 before trigger manual credit review.,21/08/25
LO-2025-000048,2025-11-02,Disbursement Control,Personal Loan,Fraud Review,Validation,Rejected,High,Mobile App,Retail Mass,East,Dispute Form,POL-KYC-101,Moderate,"2,17,595.67",36,4,47,6,3.1,No,0,No,3.9,Income Variance,Closed - Duplicate,KYC Exception,Mobile App request raised for Personal Loan. Team observed name mismatch in Validation; case routed to Disbursement Control.,Exception memo logged. Customer segment Retail Mass; resolution path is re-run KYC screening.,10/09/25
LO-2025-000049,2025-11-03,Servicing & Amendments,Personal Loan,EMI Restructuring,Fulfillment,Closed,Medium,Email,Retail Mass,East,Sanction Letter,POL-FRAUD-418,Low,"3,47,712.34",57,4,11.4,30,33.4,Yes,0,Yes,2.8,AML Trigger,Resolved - Manual Review,Sanction Conditions,Customer asked for rate revision for Personal Loan; signature mismatch flagged during EMI Restructuring. Sanction Letter review required under POL-FRAUD-418.,Branch follow-up completed. signature mismatch remains open; refer to POL-FRAUD-418 before update sanction terms.,19/12/25
LO-2025-000050,2025-11-04,Servicing & Amendments,Loan Against Property,KYC Verification,Fulfillment,Rejected,Medium,Branch,SME,South,Bank Statement,POL-COMP-709,High,"42,39,000.31",53,6,50.7,12,16.7,Yes,0,Yes,3.5,Manual Override Needed,Rejected - Policy,Sanction Conditions,Branch request raised for Loan Against Property. Team observed income variance in Fulfillment; case routed to Servicing & Amendments.,Analyst checked Bank Statement and updated workflow to Rejected. Next step: close as duplicate.,29/10/25
LO-2025-000051,2025-11-05,Credit Decision Support,Loan Against Property,Income Validation,Intake,Closed,Low,Web Portal,SME,Central,Closure Request,POL-KYC-101,High,"31,60,451.25",27,1,48.6,24,13,No,0,No,4.5,Income Variance,Resolved - Manual Review,Disbursement Hold,Customer asked for rate revision for Loan Against Property; name mismatch flagged during Income Validation. Closure Request review required under POL-KYC-101.,Exception memo logged. Customer segment SME; resolution path is re-run KYC screening.,05/08/25
LO-2025-000052,2025-11-06,KYC & Document Validation,Personal Loan,Complaint Resolution,Intake,Escalated,High,Mobile App,Retail Mass,North,KYC Pack,POL-FRAUD-418,Severe,"6,61,524.60",49,5,90.4,46,74.9,Yes,5,Yes,3.2,Customer Dispute,Rejected - Policy,Closure & NOC,Customer raised repayment grievance for Personal Loan; income variance flagged during Complaint Resolution. KYC Pack review required under POL-FRAUD-418.,Ops reviewer tagged case as High due to income variance. Suggested action: trigger manual credit review.,
LO-2025-000053,2025-11-07,Disbursement Control,Auto Loan,Fraud Review,Fulfillment,In Review,Medium,Web Portal,Affluent,West,Income Proof,POL-COMP-709,Moderate,"7,22,988.38",39,3,34.6,8,8.7,Yes,0,No,3.8,Rate Revision Request,Closed - Duplicate,Income Assessment,Case originated via Web Portal for Auto Loan. fraud suspicion caused delay at Fulfillment; refer POL-COMP-709.,Exception memo logged. Customer segment Affluent; resolution path is complete disbursement check.,
LO-2025-000054,2025-11-08,KYC & Document Validation,Credit Card,Disbursement,Fulfillment,In Review,Low,Email,Retail Mass,North,Income Proof,POL-FRAUD-418,Moderate,"3,40,910.49",45,3,31.5,22,26.7,Yes,0,No,3.3,Name Mismatch,Resolved - Standard,Rate Revision,Customer asked for rate revision for Credit Card; missing bank statement flagged during Disbursement. Income Proof review required under POL-FRAUD-418.,Branch follow-up completed. missing bank statement remains open; refer to POL-FRAUD-418 before complete disbursement check.,
LO-2025-000055,2025-11-09,Disbursement Control,Loan Against Property,Disbursement,Intake,Approved,Low,Web Portal,SME,East,Closure Request,POL-KYC-101,High,"42,64,482.37",37,2,69.8,22,19.2,No,0,No,4.6,Collateral Valuation Gap,Escalated to Ops Manager,SLA Monitoring,SME borrower submitted Closure Request; collateral valuation gap noted while performing Disbursement. Manual review requested.,Ops reviewer tagged case as Low due to collateral valuation gap. Suggested action: close as duplicate.,16/10/25
LO-2025-000056,2025-11-10,KYC & Document Validation,Loan Against Property,Income Validation,Exception Handling,Approved,Medium,Branch,Affluent,North,Income Proof,POL-SERV-605,High,"23,37,786.64",25,3,79.2,18,15.7,No,2,Yes,4,Fraud Suspected,Resolved - Standard,Sanction Conditions,Affluent borrower submitted Income Proof; duplicate request noted while performing Income Validation. Manual review requested.,Branch follow-up completed. duplicate request remains open; refer to POL-SERV-605 before trigger manual credit review.,22/08/25
LO-2025-000057,2025-11-11,Servicing & Amendments,Home Loan,Application Review,Fulfillment,In Review,High,Web Portal,Retail Mass,East,Sanction Letter,POL-COMP-709,Severe,"60,88,850.24",31,9,91.7,22,28,Yes,1,Yes,3,Fraud Suspected,Resolved - Standard,Income Assessment,Retail Mass borrower submitted Sanction Letter; signature mismatch noted while performing Application Review. Manual review requested.,Ops reviewer tagged case as High due to signature mismatch. Suggested action: complete disbursement check.,
LO-2025-000058,2025-11-12,KYC & Document Validation,Home Loan,Collateral Check,Post-Disbursement,Escalated,Medium,Branch,Affluent,West,Bank Statement,POL-CREDIT-214,High,"46,22,232.61",46,8,69.1,36,64.9,Yes,2,Yes,3.2,Customer Dispute,Awaiting Customer Action,Complaint Handling,Case originated via Branch for Home Loan. collateral valuation gap caused delay at Post-Disbursement; refer POL-CREDIT-214.,Exception memo logged. Customer segment Affluent; resolution path is trigger manual credit review.,
